BFS(1):[1, 11, 18, 25, 13, 21, 15, 17, 9, 16, 23, 4, 24, 6, 20, 3, 19, 22, 7, 14, 10, 5, 12, 2, 8]
BFS(2):[2, 5, 7, 3, 9, 4, 12, 17, 19, 13, 20, 22, 21, 8, 6, 25, 23, 11, 16, 15, 18, 24, 1, 14, 10]
BFS(3):[3, 4, 5, 12, 17, 19, 21, 2, 8, 6, 22, 25, 23, 18, 24, 7, 15, 16, 9, 1, 13, 14, 10, 20, 11]
BFS(4):[4, 3, 21, 5, 12, 17, 19, 18, 24, 2, 8, 6, 22, 25, 23, 1, 10, 7, 15, 16, 9, 13, 14, 11, 20]
BFS(5):[5, 2, 3, 7, 4, 12, 17, 19, 9, 21, 8, 6, 22, 25, 23, 13, 20, 18, 24, 15, 16, 1, 14, 11, 10]
BFS(6):[6, 15, 16, 17, 24, 20, 25, 13, 3, 19, 22, 10, 21, 9, 1, 11, 23, 4, 5, 12, 18, 7, 14, 2, 8]
BFS(7):[7, 2, 9, 5, 13, 20, 22, 3, 11, 16, 23, 15, 17, 4, 12, 19, 1, 6, 14, 25, 21, 8, 18, 24, 10]
BFS(8):[8, 12, 3, 4, 5, 17, 19, 21, 2, 6, 22, 25, 23, 18, 24, 7, 15, 16, 9, 1, 13, 14, 10, 20, 11]
BFS(9):[9, 7, 13, 20, 22, 2, 11, 16, 23, 15, 17, 5, 1, 6, 14, 19, 25, 3, 18, 24, 4, 12, 21, 10, 8]
BFS(10):[10, 24, 6, 21, 15, 16, 17, 4, 18, 20, 25, 13, 3, 19, 22, 1, 9, 11, 23, 5, 12, 7, 14, 2, 8]
BFS(11):[11, 1, 13, 18, 25, 9, 16, 23, 21, 15, 17, 7, 20, 22, 6, 14, 19, 4, 24, 3, 2, 10, 5, 12, 8]
BFS(12):[12, 3, 8, 4, 5, 17, 19, 21, 2, 6, 22, 25, 23, 18, 24, 7, 15, 16, 9, 1, 13, 14, 10, 20, 11]
BFS(13):[13, 9, 11, 16, 23, 7, 20, 22, 1, 6, 14, 19, 2, 15, 17, 18, 25, 24, 3, 5, 21, 10, 4, 12, 8]
BFS(14):[14, 23, 13, 19, 9, 11, 16, 3, 17, 7, 20, 22, 1, 6, 4, 5, 12, 25, 2, 15, 18, 24, 21, 8, 10]
BFS(15):[15, 6, 20, 25, 16, 17, 24, 9, 1, 13, 3, 19, 22, 10, 21, 7, 11, 18, 23, 4, 5, 12, 2, 14, 8]
BFS(16):[16, 6, 13, 15, 17, 24, 9, 11, 23, 20, 25, 3, 19, 22, 10, 21, 7, 1, 14, 4, 5, 12, 18, 2, 8]
BFS(17):[17, 3, 6, 19, 22, 25, 4, 5, 12, 15, 16, 24, 23, 9, 1, 21, 2, 8, 20, 13, 10, 14, 7, 11, 18]
BFS(18):[18, 1, 21, 11, 25, 4, 24, 13, 15, 17, 3, 6, 10, 9, 16, 23, 20, 19, 22, 5, 12, 7, 14, 2, 8]
BFS(19):[19, 3, 17, 23, 4, 5, 12, 6, 22, 25, 13, 14, 21, 2, 8, 15, 16, 24, 9, 1, 11, 18, 7, 20, 10]
BFS(20):[20, 9, 15, 7, 13, 22, 6, 25, 2, 11, 16, 23, 17, 24, 1, 5, 14, 19, 3, 10, 21, 18, 4, 12, 8]
BFS(21):[21, 4, 18, 24, 3, 1, 6, 10, 5, 12, 17, 19, 11, 25, 15, 16, 2, 8, 22, 23, 13, 20, 7, 9, 14]
BFS(22):[22, 9, 17, 7, 13, 20, 3, 6, 19, 25, 2, 11, 16, 23, 15, 4, 5, 12, 24, 1, 14, 21, 8, 10, 18]
BFS(23):[23, 13, 14, 19, 9, 11, 16, 3, 17, 7, 20, 22, 1, 6, 4, 5, 12, 25, 2, 15, 18, 24, 21, 8, 10]
BFS(24):[24, 6, 10, 21, 15, 16, 17, 4, 18, 20, 25, 13, 3, 19, 22, 1, 9, 11, 23, 5, 12, 7, 14, 2, 8]
BFS(25):[25, 1, 15, 17, 11, 18, 6, 20, 3, 19, 22, 13, 21, 16, 24, 9, 4, 5, 12, 23, 10, 7, 2, 8, 14]
