BFS(1):[1, 10, 13, 2, 5, 7, 21, 25, 6, 20, 16, 24, 8, 22, 4, 17, 18, 19, 12, 15, 3, 9, 14]
BFS(2):[2, 10, 16, 24, 1, 5, 7, 13, 21, 25, 18, 19, 4, 12, 17, 8, 6, 20, 22, 3, 15, 9, 14]
BFS(3):[3, 18, 4, 12, 16, 15, 17, 24, 25, 2, 19, 9, 20, 7, 10, 13, 14, 6, 8, 1, 5, 21, 22]
BFS(4):[4, 15, 17, 18, 24, 25, 9, 20, 3, 12, 16, 2, 7, 10, 13, 14, 6, 8, 19, 1, 5, 21, 22]
BFS(5):[5, 8, 10, 20, 21, 1, 2, 7, 13, 25, 6, 17, 22, 16, 24, 4, 18, 19, 12, 15, 3, 9, 14]
BFS(6):[6, 13, 20, 1, 7, 10, 25, 8, 17, 2, 5, 21, 4, 16, 24, 22, 15, 18, 19, 12, 9, 3, 14]
BFS(7):[7, 10, 13, 25, 1, 2, 5, 21, 6, 20, 4, 16, 24, 8, 22, 17, 15, 18, 19, 12, 9, 3, 14]
BFS(8):[8, 5, 20, 21, 10, 6, 13, 17, 25, 22, 1, 2, 7, 4, 24, 16, 15, 18, 12, 19, 9, 3, 14]
BFS(9):[9, 14, 15, 4, 17, 18, 24, 25, 20, 3, 12, 16, 2, 7, 10, 13, 6, 8, 19, 1, 5, 21, 22]
BFS(10):[10, 1, 2, 5, 7, 13, 21, 25, 16, 24, 8, 6, 20, 22, 4, 18, 19, 12, 17, 15, 3, 9, 14]
BFS(11):[11]
BFS(12):[12, 18, 24, 3, 4, 16, 2, 17, 15, 25, 19, 10, 20, 9, 7, 13, 1, 5, 21, 6, 8, 14, 22]
BFS(13):[13, 1, 6, 7, 10, 20, 25, 2, 5, 21, 8, 17, 4, 16, 24, 22, 15, 18, 19, 12, 9, 3, 14]
BFS(14):[14, 9, 15, 4, 17, 18, 24, 25, 20, 3, 12, 16, 2, 7, 10, 13, 6, 8, 19, 1, 5, 21, 22]
BFS(15):[15, 4, 9, 17, 18, 24, 25, 14, 20, 3, 12, 16, 2, 7, 10, 13, 6, 8, 19, 1, 5, 21, 22]
BFS(16):[16, 2, 18, 19, 25, 10, 24, 3, 4, 12, 7, 13, 20, 1, 5, 21, 17, 15, 6, 8, 22, 9, 14]
BFS(17):[17, 4, 20, 24, 15, 18, 25, 6, 8, 13, 2, 12, 9, 3, 16, 7, 10, 5, 21, 1, 14, 19, 22]
BFS(18):[18, 3, 4, 12, 16, 15, 17, 24, 25, 2, 19, 9, 20, 7, 10, 13, 14, 6, 8, 1, 5, 21, 22]
BFS(19):[19, 16, 2, 18, 25, 10, 24, 3, 4, 12, 7, 13, 20, 1, 5, 21, 17, 15, 6, 8, 22, 9, 14]
BFS(20):[20, 6, 8, 13, 17, 25, 5, 21, 1, 7, 10, 4, 24, 16, 22, 2, 15, 18, 12, 19, 9, 3, 14]
BFS(21):[21, 8, 10, 22, 5, 20, 1, 2, 7, 13, 25, 6, 17, 16, 24, 4, 18, 19, 12, 15, 3, 9, 14]
BFS(22):[22, 21, 8, 10, 5, 20, 1, 2, 7, 13, 25, 6, 17, 16, 24, 4, 18, 19, 12, 15, 3, 9, 14]
BFS(23):[23]
BFS(24):[24, 2, 4, 12, 17, 10, 16, 15, 18, 25, 20, 1, 5, 7, 13, 21, 19, 9, 3, 6, 8, 22, 14]
BFS(25):[25, 4, 7, 10, 13, 16, 20, 15, 17, 18, 24, 1, 2, 5, 21, 6, 19, 8, 9, 3, 12, 22, 14]
