DFS(1):[1, 13, 25, 20, 17, 24, 12, 18, 16, 19, 2, 10, 21, 22, 8, 5, 7, 4, 15, 9, 14, 3, 6]
DFS(2):[2, 24, 17, 20, 25, 16, 19, 18, 12, 4, 15, 9, 14, 3, 13, 10, 21, 22, 8, 5, 7, 1, 6]
DFS(3):[3, 18, 16, 25, 20, 17, 24, 12, 4, 15, 9, 14, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1, 19]
DFS(4):[4, 25, 20, 17, 24, 12, 18, 16, 19, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1, 3, 15, 9, 14]
DFS(5):[5, 10, 25, 20, 17, 24, 12, 18, 16, 19, 2, 4, 15, 9, 14, 3, 13, 7, 6, 1, 8, 21, 22]
DFS(6):[6, 20, 25, 16, 19, 18, 12, 24, 17, 4, 15, 9, 14, 2, 10, 21, 22, 8, 5, 13, 7, 1, 3]
DFS(7):[7, 25, 20, 17, 24, 12, 18, 16, 19, 2, 10, 21, 22, 8, 5, 13, 6, 1, 4, 15, 9, 14, 3]
DFS(8):[8, 21, 22, 10, 25, 20, 17, 24, 12, 18, 16, 19, 2, 4, 15, 9, 14, 3, 13, 7, 6, 1, 5]
DFS(9):[9, 15, 4, 25, 20, 17, 24, 12, 18, 16, 19, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1, 3, 14]
DFS(10):[10, 25, 20, 17, 24, 12, 18, 16, 19, 2, 4, 15, 9, 14, 3, 13, 7, 6, 1, 8, 21, 22, 5]
DFS(11):[11]
DFS(12):[12, 24, 17, 20, 25, 16, 19, 18, 4, 15, 9, 14, 3, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1]
DFS(13):[13, 25, 20, 17, 24, 12, 18, 16, 19, 2, 10, 21, 22, 8, 5, 7, 1, 4, 15, 9, 14, 3, 6]
DFS(14):[14, 9, 15, 4, 25, 20, 17, 24, 12, 18, 16, 19, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1, 3]
DFS(15):[15, 9, 14, 4, 25, 20, 17, 24, 12, 18, 16, 19, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1, 3]
DFS(16):[16, 25, 20, 17, 24, 12, 18, 4, 15, 9, 14, 3, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1, 19]
DFS(17):[17, 24, 12, 18, 16, 25, 20, 13, 10, 21, 22, 8, 5, 7, 2, 1, 6, 4, 15, 9, 14, 19, 3]
DFS(18):[18, 16, 25, 20, 17, 24, 12, 4, 15, 9, 14, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1, 19, 3]
DFS(19):[19, 16, 25, 20, 17, 24, 12, 18, 4, 15, 9, 14, 3, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1]
DFS(20):[20, 25, 16, 19, 18, 12, 24, 17, 4, 15, 9, 14, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1, 3]
DFS(21):[21, 22, 10, 25, 20, 17, 24, 12, 18, 16, 19, 2, 4, 15, 9, 14, 3, 13, 7, 6, 1, 8, 5]
DFS(22):[22, 21, 10, 25, 20, 17, 24, 12, 18, 16, 19, 2, 4, 15, 9, 14, 3, 13, 7, 6, 1, 8, 5]
DFS(23):[23]
DFS(24):[24, 17, 20, 25, 16, 19, 18, 12, 4, 15, 9, 14, 3, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1]
DFS(25):[25, 20, 17, 24, 12, 18, 16, 19, 2, 10, 21, 22, 8, 5, 13, 7, 6, 1, 4, 15, 9, 14, 3]
