DFS(1):[1, 25, 17, 22, 9, 20, 15, 6, 24, 21, 18, 4, 3, 19, 23, 14, 13, 16, 11, 12, 8, 5, 2, 7, 10]
DFS(2):[2, 7, 9, 22, 17, 25, 15, 20, 6, 24, 21, 18, 1, 11, 13, 23, 19, 3, 12, 8, 5, 4, 14, 16, 10]
DFS(3):[3, 19, 23, 14, 13, 16, 6, 24, 21, 18, 1, 25, 17, 22, 9, 20, 15, 7, 2, 5, 11, 4, 10, 12, 8]
DFS(4):[4, 21, 24, 10, 6, 17, 25, 15, 20, 9, 22, 13, 23, 19, 3, 12, 8, 5, 2, 7, 14, 16, 11, 1, 18]
DFS(5):[5, 3, 19, 23, 14, 13, 16, 6, 24, 21, 18, 1, 25, 17, 22, 9, 20, 15, 7, 2, 11, 4, 10, 12, 8]
DFS(6):[6, 24, 21, 18, 1, 25, 17, 22, 9, 20, 15, 13, 23, 19, 3, 12, 8, 5, 2, 7, 4, 14, 16, 11, 10]
DFS(7):[7, 9, 22, 17, 25, 15, 20, 6, 24, 21, 18, 1, 11, 13, 23, 19, 3, 12, 8, 5, 2, 4, 14, 16, 10]
DFS(8):[8, 12, 3, 19, 23, 14, 13, 16, 6, 24, 21, 18, 1, 25, 17, 22, 9, 20, 15, 7, 2, 5, 11, 4, 10]
DFS(9):[9, 22, 17, 25, 15, 20, 6, 24, 21, 18, 1, 11, 13, 23, 19, 3, 12, 8, 5, 2, 7, 4, 14, 16, 10]
DFS(10):[10, 24, 21, 18, 1, 25, 17, 22, 9, 20, 15, 6, 16, 13, 23, 19, 3, 12, 8, 5, 2, 7, 4, 14, 11]
DFS(11):[11, 13, 23, 19, 17, 25, 15, 20, 9, 22, 7, 2, 5, 3, 12, 8, 4, 21, 24, 10, 6, 16, 18, 1, 14]
DFS(12):[12, 8, 3, 19, 23, 14, 13, 16, 6, 24, 21, 18, 1, 25, 17, 22, 9, 20, 15, 7, 2, 5, 11, 4, 10]
DFS(13):[13, 23, 19, 17, 25, 15, 20, 9, 22, 7, 2, 5, 3, 12, 8, 4, 21, 24, 10, 6, 16, 18, 1, 11, 14]
DFS(14):[14, 23, 19, 17, 25, 15, 20, 9, 22, 13, 16, 6, 24, 21, 18, 1, 11, 4, 3, 12, 8, 5, 2, 7, 10]
DFS(15):[15, 25, 17, 22, 9, 20, 13, 23, 19, 3, 12, 8, 5, 2, 7, 4, 21, 24, 10, 6, 16, 18, 1, 11, 14]
DFS(16):[16, 13, 23, 19, 17, 25, 15, 20, 9, 22, 7, 2, 5, 3, 12, 8, 4, 21, 24, 10, 6, 18, 1, 11, 14]
DFS(17):[17, 25, 15, 20, 9, 22, 13, 23, 19, 3, 12, 8, 5, 2, 7, 4, 21, 24, 10, 6, 16, 18, 1, 11, 14]
DFS(18):[18, 21, 24, 10, 6, 17, 25, 15, 20, 9, 22, 13, 23, 19, 3, 12, 8, 5, 2, 7, 4, 14, 16, 11, 1]
DFS(19):[19, 23, 14, 13, 16, 6, 24, 21, 18, 1, 25, 17, 22, 9, 20, 15, 7, 2, 5, 3, 12, 8, 4, 11, 10]
DFS(20):[20, 15, 25, 17, 22, 9, 13, 23, 19, 3, 12, 8, 5, 2, 7, 4, 21, 24, 10, 6, 16, 18, 1, 11, 14]
DFS(21):[21, 24, 10, 6, 17, 25, 15, 20, 9, 22, 13, 23, 19, 3, 12, 8, 5, 2, 7, 4, 14, 16, 11, 1, 18]
DFS(22):[22, 17, 25, 15, 20, 9, 13, 23, 19, 3, 12, 8, 5, 2, 7, 4, 21, 24, 10, 6, 16, 18, 1, 11, 14]
DFS(23):[23, 19, 17, 25, 15, 20, 9, 22, 13, 16, 6, 24, 21, 18, 1, 11, 4, 3, 12, 8, 5, 2, 7, 10, 14]
DFS(24):[24, 21, 18, 1, 25, 17, 22, 9, 20, 15, 6, 16, 13, 23, 19, 3, 12, 8, 5, 2, 7, 4, 14, 11, 10]
DFS(25):[25, 17, 22, 9, 20, 15, 6, 24, 21, 18, 1, 11, 13, 23, 19, 3, 12, 8, 5, 2, 7, 4, 14, 16, 10]
